Tara,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19
Poland,0.3646917277027018,0.25446103172998313,0.007258036368554934,0.059207977525007185,0.032636214040262436,0.022719657144567664,0.10957359144926151,0.011843512214839088,0.012466274893779838,0.0383111640093898,0.0025999477126867265,0.07059178259219157,0.0061164736792718305,1.3379658707300077e-05,0.0017634542174428827,0.004050140533173952,0.0005035294266546886,0.0008018675585743996,0.00023771363354777315,0.00015252390940127244
Portugal,0.21901521089961856,0.06314479051383726,0.14093127792730764,0.18197565551618686,0.014879245388004097,0.002545560376110289,0.07604521715507213,0.0063607040498779455,0.18101118221472337,0.0004200917953051087,0.019682367614782523,0.015637245705272702,0.054360506978272244,0.011297632083216975,0.012132142715784154,8.75628789200429e-07,1.9158941267675072e-05,0.00031307476714839233,8.604998303111128e-05,0.00014200974639168556
Romania,0.7600708978732602,0.01390613874864383,4.148361897119445e-05,0.07786541258551133,0.0028438672810748218,0.012681792002085692,0.08183836650611911,0.0009956114463215986,0.0169170520602532,0.0001663279503041902,0.003901059362875023,0.00018860831265213142,0.001871288565986946,0.025182587763668066,0.0010172352082909635,0.0003163447175302146,0.00014433283978758244,4.194664668336173e-06,2.0021907269499542e-05,2.7376584725877093e-05
Slovenia,0.012244902403794685,0.39238318072694905,0.036446849563867796,0.006257038408427817,0.15225986537691585,0.08429277121695497,0.06066429346655991,0.1980965198318131,0.000945608289813826,0.01789435469117643,0.004099432367308813,0.002934217199764588,0.0021121495539146527,0.007049463924054075,0.017475258667928168,0.0024646090729369646,0.0006157314759227426,0.0017634234363750009,3.232764677419189e-07,7.049054027158952e-09
Slovakia,0.21313759924079934,0.15536710480729304,0.0031122543324485948,0.03600815124655404,0.19779931222716496,0.2504516429914835,0.004592251651840474,0.026146073624984598,0.00039434309933963175,0.010887415935369644,0.00038475924230471355,0.0016894385023838692,0.08031638962155133,0.0010899623422897713,0.01258245162408758,0.0015731791343348413,0.003832380206548993,0.00012660507233216336,0.0005081123216031375,5.727752859982682e-07
Finland,0.8521074292230761,0.05285518174601776,0.006910744599502631,0.004538291876841077,0.002058288159101339,0.004440252257424581,0.0003506345004565305,0.05473342611008937,0.0011562348429081865,0.0016916741309481393,1.6243586972299247e-05,0.010743684583811162,0.0027116631305536963,0.00044289690478157727,0.004572890072169099,0.0002733821489246784,0.0003130949795183723,1.4081040886218437e-05,6.981276707702781e-05,9.33389401810994e-08
Sweden,0.8166282477094507,9.381876011989058e-05,7.553468075273338e-05,0.008198518602516998,0.007628848101796477,0.04114087160794664,0.03627625540755586,0.0007906255777364488,0.0034622021004346425,0.017492200114412722,0.00017827538893173603,0.045817855611513386,0.007159597813656036,0.007891077628070824,0.00048076991562846674,0.006080266523548727,0.0005828641476477672,1.0476019933514376e-05,1.1662641681862252e-05,3.1646664296885773e-08
Iceland,0.768269101684812,0.14317435427760172,0.006300514745021151,0.0002767287726440175,0.006432094837754358,0.011207054414276477,0.004233206571351395,0.007800505220156159,0.020835514863828314,0.0037364087467777565,0.021565949128932907,0.002621629403000649,0.0017353053769789788,0.0012583549491435994,1.6938565669821507e-05,0.00010091850439398726,2.4730102827414142e-08,0.0003350727018233102,6.583803654037386e-05,3.448446919022081e-05
Norway,0.8209218614231479,0.030558128685193302,0.02421701387613961,0.0011294944344619109,0.005789449556614909,0.06275900033204834,0.030850668471410415,0.001344057327530869,2.2036417931748816e-05,0.0061867138344876655,0.012461381213002798,9.252411191598468e-06,0.001017379233309873,0.0002843869578660309,0.0002767812133911209,0.0017131295899688675,0.00010138812572432483,0.0003091410723436696,3.412986059737648e-05,1.460596363769019e-05
Switzerland,0.6848748513186477,0.029491136381026715,3.6741658957500016e-05,0.06345434281144167,0.0031995785200992694,0.0009790382600517692,0.11071136856642431,0.010960495919072092,0.014990864258377394,0.009697955110921573,0.0061584693798520515,0.012014478033026773,0.04526188523606379,6.837737086918509e-05,0.007292186868804905,2.451339597379108e-05,2.2143049168861934e-07,0.0006262989153309813,0.00014845527527496664,8.741289291867944e-06
United Kingdom,0.664309005906024,0.007955528902875604,0.00963942456414604,0.08713390209458619,0.0006281174527479955,0.013263125664371041,0.16377864505910225,0.014288153813929626,0.006061457816010086,0.0002678955935343548,0.0049053235926107,0.0250772538340963,0.0006018863979226102,0.00012039477230138464,0.00039800005649434704,0.0006756196350524873,6.9336143526059e-05,0.0003833611203934418,0.00012720404665437726,0.0003163635336210212
Montenegro,0.3618326053034781,0.04135143797178946,0.2706805774123369,0.08702273302836358,0.028637512814471133,0.06355154443237628,0.0005541096218745506,0.013706677550250384,0.08562547253194558,0.022819782086754142,0.01613012298908868,0.005358137555369176,9.647089032307353e-05,0.0018217300032449635,6.226775432508005e-05,7.739572640659647e-06,0.0006828104207745018,3.611247337244772e-06,5.009382312270334e-05,4.562990133878748e-06
North Macedonia,0.6343543766377989,0.11100125030747976,0.013313979800475762,1.548584717363751e-08,0.0448552496088292,0.007712589061794615,0.028614839143431135,0.05533098607980318,0.09325763854810977,0.00017336463250906367,0.001538120464511457,0.007627838662991776,1.5123294456177888e-05,0.0005543874468341741,0.0004087772286557604,0.0004253007983370368,0.0006748451956889517,0.00010751207521582905,3.0441323503299123e-05,3.3642037269762534e-06
Serbia,0.7078746221432977,0.005587629193815305,0.19965129208608434,0.020080418904654153,0.0037455807009718085,0.009596896320672762,0.020384832336658568,0.0018350022443686088,0.0007356373209123719,0.0105109065511662,0.0007208883311183381,6.597648883329393e-06,0.0022899008686972323,0.0015375690365926876,0.006121696861217577,0.0031555307906125413,0.006017179301903406,0.00010670617738007226,3.898535892089034e-05,2.1278220722728736e-06
