,Cluster
Belgium,c2
Bulgaria,c3
Czechia,c2
Denmark,c1
Germany,c2
Estonia,c2
Ireland,c2
Greece,c3
Spain,c2
France,c2
Croatia,c2
Italy,c3
Cyprus,c3
Latvia,c3
Lithuania,c2
Luxembourg,c2
Hungary,c3
Malta,c2
Netherlands,c1
Austria,c2
Poland,c3
Portugal,c2
Romania,c3
Slovenia,c2
Slovakia,c2
Finland,c1
Sweden,c1
Iceland,c1
Norway,c1
Switzerland,c1
United Kingdom,c1
Montenegro,c3
North Macedonia,c3
Serbia,c3
